SVC_NUM,DIR,ROUT_SEQ,BS_CODE,DISTANCE
176,1,18,43419,5.5
176,1,19,43401,5.9
176,1,20,43321,6.3
176,1,21,43371,6.7
176,1,22,43699,7
176,1,23,28629,7.4
176,1,24,28319,7.9
176,1,25,28449,8.3
176,1,26,28431,8.5
176,1,27,28249,8.9
176,1,28,28239,9.4
176,1,29,28229,9.9
176,1,30,20269,10.5
176,1,31,20259,10.7
176,1,32,20159,11
176,1,33,20149,11.3
176,1,34,20139,11.7
176,1,35,20289,12.2
176,1,36,17339,12.9
176,1,37,17329,13.3
176,1,38,17319,13.7
176,1,39,17369,14.1
176,1,40,17309,14.5
176,1,41,17359,14.7
176,1,42,17299,15.2
176,1,43,16249,15.7
176,1,44,16239,16.3
176,1,45,16229,16.7
176,1,46,16219,17.2
176,1,47,15219,17.6
176,1,48,15209,18
176,1,49,15199,18.3
176,1,50,15169,18.8
176,1,51,15159,19
176,1,52,15149,19.3
176,1,53,14189,19.7
176,1,54,14179,20
176,1,55,14169,20.4
176,1,56,14041,20.9
176,1,57,14051,21.3
176,1,58,14241,21.8
176,1,59,10331,22.1
176,1,60,10009,22.4
176,2,1,10009,0
176,2,2,10339,0.4
176,2,3,14249,0.6
176,2,4,14059,1.1
176,2,5,14049,1.5
176,2,6,14161,2.1
176,2,7,14171,2.4
176,2,8,15141,3.1
176,2,9,15151,3.4
176,2,10,15161,3.6
176,2,11,15191,4.1
176,2,12,15201,4.4
176,2,13,15211,4.8
176,2,14,16211,5.1
176,2,15,16221,5.5
176,2,16,16231,6
176,2,17,16241,6.6
176,2,18,17291,7.1
176,2,19,17351,7.7
176,2,20,17301,7.9
176,2,21,17361,8.3
176,2,22,17311,8.6
176,2,23,17321,9.1
176,2,24,17331,9.5
176,2,25,20281,10.1
176,2,26,20131,10.7
176,2,27,20141,11.1
176,2,28,20151,11.4
176,2,29,20251,11.7
176,2,30,20261,11.9
176,2,31,20271,12.3
176,2,32,28221,12.6
176,2,33,28231,12.9
176,2,34,28241,13.3
176,2,35,28439,13.7
176,2,36,28441,13.9
176,2,37,28311,14.3
176,2,38,28621,14.8
176,2,39,43691,15.3
176,2,40,43379,15.7
176,2,41,43329,16
176,2,42,43409,16.4
